ID,NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_det,tu_geo,tu_ch,td_det,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,is_tref,is_hpc,id_hpc,Ignore
84,324,13,4,1,913.4,0,14741.2,0.0976621,0,0,0.04024,74.9929,0.0976613,0,0,0.04024,136.639,7.3948,-1.08367,0,44,13,40,44,13,56,27,8,27,24,0,0,0,0
85,325,13,4,1,1035.8,0,14741.2,0.0976618,0,0,0.0401061,104.116,0.0976613,0,0,0.0401061,139.696,7.43229,1.07868,0,44,13,41,44,13,57,27,9,27,25,0,0,0,0
86,326,13,4,1,1158.2,0,14741.2,0.0976613,0,0,0.0394181,85.0307,0.0976616,0,0,0.0394181,109.433,7.41042,5.43383,0,44,13,42,44,13,58,27,10,27,26,0,0,0,0
87,327,13,4,1,1280.6,0,14741.2,0.0976612,0,0,0.039315,108.89,0.0976616,0,0,0.039315,118.525,7.42239,0.615804,0,44,13,43,44,13,59,27,11,27,27,0,0,0,0
88,328,13,4,1,1403,0,14741.2,0.0976622,0,0,0.0423389,91.5431,0.0976614,0,0,0.0423389,110.514,7.44222,5.31241,0,44,13,44,44,13,60,27,12,27,28,0,0,0,0
89,329,13,4,1,1525.4,0,14741.2,0.0976618,0,0,0.0444605,99.6164,0.0976614,0,0,0.0444605,112.29,7.45011,-0.868262,0,44,13,45,44,13,61,27,13,27,29,0,0,0,0
90,330,13,4,1,1647.8,0,14741.2,0.0976614,0,0,0.0400029,75.2329,0.0976614,0,0,0.0400029,108.048,7.42092,8.32908,0,44,13,46,44,13,62,27,14,27,30,0,0,0,0
91,401,13,4,2,-1901.8,0,14871.2,0.0976616,0,0,0.0437469,119.161,0.0976617,0,0,0.0437469,130.673,7.34962,7.38612,0,44,13,64,44,13,80,28,0,28,16,0,0,0,0
92,402,13,4,2,-1779.4,0,14871.2,0.0976618,0,0,0.0407033,104.13,0.0976618,0,0,0.0407033,152.514,7.35975,8.44547,0,44,13,65,44,13,81,28,1,28,17,0,0,0,0
93,403,13,4,2,-1657,0,14871.2,0.0976615,0,0,0.0397737,121.362,0.0976615,0,0,0.0397737,128.365,7.38364,6.57232,0,44,13,66,44,13,82,28,2,28,18,0,0,0,0
94,404,13,4,2,-1534.6,0,14871.2,0.0976617,0,0,0.039645,91.3462,0.0976614,0,0,0.039645,144.141,7.43995,6.58177,0,44,13,67,44,13,83,28,3,28,19,0,0,0,0
95,405,13,4,2,-1412.2,0,14871.2,0.0976618,0,0,0.0438169,127.094,0.0976616,0,0,0.0438169,158.921,7.34793,10.5909,0,44,13,68,44,13,84,28,4,28,20,0,0,0,0
96,406,13,4,2,-1289.8,0,14871.2,0.0976617,0,0,0.0416097,128.651,0.0976615,0,0,0.0416097,147.238,7.34313,6.73005,0,44,13,69,44,13,85,28,5,28,21,0,0,0,0
