NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ_SAMURAICenter_to_SCI,Target-SAMURAICenter,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
323,13,2,1,791,0,10642,4228,14870,0.0657841,0,40,0.0527391,263.12,0.065091,0,40,0.0487476,151.761,75.0275,220.77,-8.37791,15,23,25,23,16,23,26,23,0
324,13,2,1,913.4,0,10642,4228,14870,0.0660082,0,40,0.0486646,169.322,0.065774,0,39.1,0.0473922,136.112,75.1441,-32.1236,-9.259642,15,24,25,24,16,24,26,24,0
325,13,2,1,1035.8,0,10642,4228,14870,0.0659338,0,40,0.0481003,190.104,0.067496,0,41,0.0465707,132.038,74.5654,-37.3169,-6.751,15,25,25,25,16,25,26,25,0
326,13,2,1,1158.2,0,10642,4228,14870,0.0646175,0,39.8,0.0494222,223.039,0.065423,0,39.1,0.0467306,133.179,74.6481,-133.87,-9.3854597,15,26,25,26,16,26,26,26,0
327,13,2,1,1280.6,0,10642,4228,14870,0.0651789,0,40.673,0.0507416,318.298,0.0649238,0,40,0.0471355,181.469,75.2234,-2.8439,-7.580104,15,27,25,27,16,27,26,27,0
328,13,2,1,1403,0,10642,4228,14870,0.0655843,0,41.973,0.0489606,293.836,0.0652322,0,40,0.0531392,248.082,75.8737,66.5151,-7.615757,15,28,25,28,16,28,26,28,0
329,13,2,1,1525.4,0,10642,4228,14870,0.0650864,0,41,0.0509194,194.151,0.0666723,0,40.18,0.0488693,130.129,75.143,50.1327,-8.018546,15,29,25,29,16,29,26,29,0
330,13,2,1,1647.8,0,10642,4228,14870,0.0663363,0,40,0.0503395,276.307,0.0649467,0,40,0.0484517,150.865,76.3945,368.916,-7.6109483,15,30,25,30,16,30,26,30,0
401,13,2,2,-1901.8,0,10762,4228,14990,0.0690807,0,40.79,0.0495081,157.512,0.0685442,0,41.09,0.0507597,226.99,74.6604,-106.681,-15.215126,17,0,27,0,18,0,28,0,0
402,13,2,2,-1779.4,0,10762,4228,14990,0.0680163,0,41.09,0.049095,155.596,0.0685925,0,41,0.0478015,204.626,74.219,135.782,-14.249536,17,1,27,1,18,1,28,1,0
403,13,2,2,-1657,0,10762,4228,14990,0.0685655,0,40,0.0465963,136.002,0.0679118,0,40,0.0527686,284.189,74.6684,-169.207,-16.159059,17,2,27,2,18,2,28,2,0
404,13,2,2,-1534.6,0,10762,4228,14990,0.0684254,0,40.09,0.0496105,192.667,0.0679886,0,41,0.0452287,164.393,75.8597,-44.4188,-9.147705,17,3,27,3,18,3,28,3,0
405,13,2,2,-1412.2,0,10762,4228,14990,0.0682207,0,40.073,0.0496077,186.367,0.067642,0,40,0.0502492,204.005,74.1416,-261.787,-14.171177,17,4,27,4,18,4,28,4,0
406,13,2,2,-1289.8,0,10762,4228,14990,0.0688326,0,44,0.0510491,195.202,0.067695,0,40.1,0.0465918,133.138,74.8327,3.47335,-14.475744,17,5,27,5,18,5,28,5,0
407,13,2,2,-1167.4,0,10762,4228,14990,0.0676901,0,39.79,0.0489836,200.265,0.0683006,0,41.09,0.0526175,243.692,74.7114,-397.296,-14.26361,17,6,27,6,18,6,28,6,0
408,13,2,2,-1045,0,10762,4228,14990,0.0674998,0,41.09,0.0468763,175.012,0.0675411,0,41,0.0514897,215.525,74.3222,242.31,-14.87711,17,7,27,7,18,7,28,7,0
409,13,2,2,-922.6,0,10762,4228,14990,0.0679835,0,41,0.0483227,180.347,0.0679941,0,41,0.0485707,105.239,74.8732,73.5426,-12.04801,17,8,27,8,18,8,28,8,0
410,13,2,2,-800.2,0,10762,4228,14990,0.067742,0,43.383,0.0476364,146.362,0.0689345,0,35.7,0.0503824,169.111,74.2529,-16.9741,-11.00453,17,9,27,9,18,9,28,9,0
411,13,2,2,-677.8,0,10762,4228,14990,0.0688113,0,41.7,0.0464357,125.128,0.0676989,0,39.79,0.0465341,205.936,74.8435,199.934,-10.25754,17,10,27,10,18,10,28,10,0
412,13,2,2,-555.4,0,10762,4228,14990,0.0693414,0,40.18,0.045169,145.486,0.0689947,0,40,0.0484951,228.796,74.1737,198.773,-11.15427,17,11,27,11,18,11,28,11,0
413,13,2,2,-433,0,10762,4228,14990,0.0687614,0,39.4,0.0537363,284.773,0.0681861,0,40,0.0493161,275.852,74.5346,52.8689,-13.66542,17,12,27,12,18,12,28,12,0
414,13,2,2,-310.6,0,10762,4228,14990,0.0677736,0,41.09,0.0497276,167.634,0.0685629,0,41,0.0433843,213.299,74.6157,8.13813,-9.614,17,13,27,13,18,13,28,13,0
415,13,2,2,-188.2,0,10762,4228,14990,0.0691568,0,40.763,0.048077,192.597,0.0669555,0,41,0.0503858,228.717,74.6234,162.724,-13.58437,17,14,27,14,18,14,28,14,0
416,13,2,2,-65.8,0,10762,4228,14990,0.068671,0,39.973,0.0492331,175.374,0.0675798,0,41,0.0507484,273.657,74.3801,-695.237,-18.27229,17,31,27,31,18,31,28,16,0
417,13,2,2,56.6,0,10762,4228,14990,0.0682919,0,40.973,0.0502089,138.765,0.0668367,0,40.7,0.0507328,210.175,74.5927,-1037.89,-14.44,17,17,27,17,18,17,28,17,0
418,13,2,2,179,0,10762,4228,14990,0.0687916,0,40.79,0.0477342,255.165,0.0681578,0,41,0.0494884,219.047,74.4092,-735.233,-17.17666,17,18,27,18,18,18,28,18,0
419,13,2,2,301.4,0,10762,4228,14990,0.0679187,0,41.063,0.047838,101.953,0.06664,0,40,0.0491266,154.327,74.4998,-590.703,-15.82974,17,19,27,19,18,19,28,19,0
420,13,2,2,423.8,0,10762,4228,14990,0.0680249,0,39.7,0.0469024,115.042,0.0676979,0,40,0.0474907,128.947,74.9151,-755.314,-15.12208,17,20,27,20,18,20,28,20,0
421,13,2,2,546.2,0,10762,4228,14990,0.0675042,0,40.373,0.0450415,107.409,0.0664889,0,41,0.0502466,209.989,74.7334,-577.481,-14.69662,17,21,27,21,18,21,28,21,0
422,13,2,2,668.6,0,10762,4228,14990,0.0674152,0,41.063,0.0434265,140.587,0.0689482,0,43.09,0.0471978,214.643,75.0141,-408.739,-16.88391,17,22,27,22,18,22,28,22,0
423,13,2,2,791,0,10762,4228,14990,0.067262,0,40,0.0454385,146.291,0.066209,0,41,0.0478506,208.024,74.8249,-942.721,-14.95678,17,23,27,23,18,23,28,23,0
424,13,2,2,913.4,0,10762,4228,14990,0.0693447,0,39.79,0.0489096,216.419,0.0675755,0,40,0.0494214,214.137,75.0403,-426.323,-14.46266,17,24,27,24,18,24,28,24,0
425,13,2,2,1035.8,0,10762,4228,14990,0.0680569,0,40.7,0.0482579,162.847,0.0682918,0,40,0.0490588,181.397,75.6336,-768.043,-13.91386,17,25,27,25,18,25,28,25,0
426,13,2,2,1158.2,0,10762,4228,14990,0.0685979,0,39.7,0.0465466,173.252,0.0683782,0,39.1,0.0490266,163.877,74.9486,-780.552,-15.084321,17,26,27,26,18,26,28,26,0
427,13,2,2,1280.6,0,10762,4228,14990,0.0687331,0,40.973,0.0486571,149.24,0.0688076,0,41,0.0492223,165.777,74.3684,-855.754,-12.595404,17,27,27,27,18,27,28,27,0
428,13,2,2,1403,0,10762,4228,14990,0.0697325,0,40.7,0.0465643,150.129,0.0682225,0,41,0.049713,221.896,75.5782,-623.369,-15.255,17,28,27,28,18,28,28,28,0
429,13,2,2,1525.4,0,10762,4228,14990,0.0687271,0,40.88,0.0506491,166.943,0.0680298,0,41,0.0454519,120.685,74.6018,-711.58,-13.37654,17,29,27,29,18,29,28,29,0
430,13,2,2,1647.8,0,10762,4228,14990,0.0680918,0,40.973,0.0474628,152.18,0.0676901,0,40,0.0467175,257.362,74.8358,-645.464,-14.804545,17,30,27,30,18,30,28,30,0
V101,13,1,0,-1832,0,9508,4228,13736,0.0685601,0,40,0.0192254,158.619,0.0688097,0,40,0.0416965,145.448,71.8244,647.268,-7.9573,19,0,29,0,19,16,29,16,0
V102,13,1,0,-1522,0,9528,4228,13756,0.0684875,0,40,0.0192254,174.093,0.0681488,0,40,0.0416965,177.7,72.3335,840.424,-11.33263,19,1,29,1,19,17,29,28,0
V103,13,1,0,-1212,0,9508,4228,13736,0.068341,0,40,0.0192254,117.03,0.0679286,0,40,0.0449277,149.839,71.0276,473.513,-9.45925,19,2,29,2,19,18,29,18,0
V104,13,1,0,-902,0,9528,4228,13756,0.0685035,0,40,0.0192254,282.924,0.0679504,0,40,0.0226382,117.604,72.8386,634.526,-10.23917,19,3,29,3,19,19,29,19,0
V105,13,1,0,-592,0,9508,4228,13736,0.0679003,0,40,0.0192254,291.379,0.068849,0,40,0.0226382,193.55,71.029,897.746,-9.069431,19,4,29,4,19,20,29,20,0
V106,13,1,0,-282,0,9528,4228,13756,0.0686665,0,40,0.024302,251.242,0.0678086,0,40,0.0226382,142.992,72.8066,735.559,-9.348827,19,5,29,5,19,21,29,15,0
V107,13,1,0,28,0,9508,4228,13736,0.0688554,0,40,0.024302,122.188,0.0667952,0,40,0.0226382,237.335,71.2805,664.013,-10.250689,19,6,29,6,19,22,29,30,0
V108,13,1,0,338,0,9528,4228,13756,0.0682867,0,40,0.024302,174.637,0.0676528,0,40,0.0226382,190.339,72.6277,740.325,-9.655171,19,7,29,7,19,23,29,23,0
V109,13,1,0,648,0,9508,4228,13736,0.0694652,0,40,0.024302,304.503,0.0669792,0,40,0.0226382,282.294,72.4834,1394.82,-10.477769,19,8,29,8,19,24,29,24,0
V110,13,1,0,958,0,9528,4228,13756,0.0679294,0,40,0.0255775,164.946,0.0684891,0,40,0.0226382,165.084,72.6687,1091.65,-10.4016,19,9,29,9,19,25,29,25,0
V111,13,1,0,1268,0,9508,4228,13736,0.0676197,0,40,0.0255775,147.3,0.0683057,0,40,0.0113431,352.16,71.8689,916.527,-10.45968,19,10,29,10,19,26,29,31,0
V112,13,1,0,1578,0,9528,4228,13756,0.0681061,0,40,0.0255775,152.749,0.0676503,0,40,0.0114194,136.269,72.6157,966.986,-5.4314,19,11,29,11,19,27,29,27,0
