NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,,,,,,,,
NaI186,186,8,10,36.67,-25.8,-12.07,38.25,1199.24,0.0977,-335.30995,3.42837,10,26,21,74,,,,,,,,
NaI187,187,8,10,35.04,-18.91,-18.89,38.11,1193.59,0.0977,-321.170005,3.252821,10,27,21,75,,,,,,,,
NaI188,188,8,10,36.67,-12.06,-25.78,38.21,1194.59,0.0977,-371.957168,3.273984,10,28,21,76,,,,,,,,
NaI189,189,8,10,34.79,-4.37,-26.98,39.33,1209.96,0.0977,-290.046207,3.122196,10,29,21,77,,,,,,,,
NaI190,190,8,10,29.59,4.3,-21.68,38.93,1192.25,0.0977,-220.887938,3.405444,12,9,20,9,,,,,,,,
NaI191,191,8,10,30.42,12.03,-18.78,37.99,1179.14,0.0977,-259.253398,3.381795,12,10,20,10,,,,,,,,
NaI192,192,8,10,30.43,18.79,-12,37.96,1186.55,0.0977,-509.385488,5.78764,11,0,21,80,,,,,,,,
NaI193,193,8,10,29.62,21.71,-4.26,38.92,1198.91,0.0977,-268.590396,3.420354,11,1,21,81,,,,,,,,
NaI194,194,8,10,29.59,21.7,4.29,38.95,1198.27,0.0977,-220.714888,3.321318,11,2,21,82,,,,,,,,
NaI195,195,8,10,30.44,18.81,12.01,37.98,1185.56,0.0977,-278.756397,3.609555,11,3,21,83,,,,,,,,
NaI196,196,8,10,30.46,12,18.8,37.94,1184.67,0.0977,-317.801354,3.448614,11,4,21,84,,,,,,,,
NaI197,197,8,10,29.62,4.27,21.7,38.89,1199.94,0.0977,-199.85931,2.730166,11,5,21,85,,,,,,,,
NaI198,198,8,10,29.6,-4.23,21.71,38.94,1200.03,0.0977,-294.73992,3.115252,11,6,21,86,,,,,,,,
NaI199,199,8,10,30.49,-12.02,18.82,37.93,1181.69,0.0977,-318.32663,3.65706,11,7,20,0,,,,,,,,
