NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,,,,,b1,a1,,b2,a2,,,b new,a new
NaI114,114,8,8,59.84,33.86,10.2,20.55,1196.39,0.0977,0,0,8,18,21,2,,,,,0,0,114,0,0,,,0,0
NaI115,115,8,8,59.82,30.97,17.11,20.58,1192.61,0.0977,0,0,8,19,21,3,,,,,0,0,115,0,0,,,0,0
NaI116,116,8,8,59.7,23.9,25.99,20.63,1187.34,0.0977,0,0,8,20,21,4,,,,,0,0,116,0,0,,,0,0
NaI117,117,8,8,59.88,17.08,31.01,20.54,1193.52,0.0977,0,0,8,21,21,5,,,,,0,0,117,0,0,,,0,0
NaI118,118,8,8,59.97,10.26,33.96,20.51,1199.98,0.0977,-376.737412,3.174444,8,22,21,6,,,,,-380.799,3.213,118,-0.508,0.988,,,-376.737412,3.174444
NaI119,119,8,8,59.83,3.4,35.09,20.5,1204.28,0.0977,-245.04376,3.0888,8,23,21,7,,,,,-240.424,3.12,119,-7.024,0.99,,,-245.04376,3.0888
NaI120,120,8,8,59.9,-3.46,35.16,20.48,1205.88,0.0977,-274.000872,3.21048,8,24,21,8,,,,,-262.484,3.185,120,-9.417,1.008,,,-274.000872,3.21048
NaI121,121,8,8,59.97,-10.26,33.98,20.52,1198.56,0.0977,-300.617503,3.566815,8,25,21,9,,,,,-289.167,3.535,121,-8.848,1.009,,,-300.617503,3.566815
NaI122,122,8,8,59.92,-17.02,31.06,20.52,1202.58,0.0977,0,0,8,26,21,10,,,,,0,0,122,0,0,,,0,0
NaI123,123,8,8,59.71,-23.89,25.91,20.59,1188.96,0.0977,0,0,8,27,21,11,,,,,0,0,123,0,0,,,0,0
NaI124,124,8,8,59.79,-30.98,17.06,20.59,1191.5,0.0977,0,0,8,28,21,12,,,,,0,0,124,0,0,,,0,0
NaI125,125,8,8,59.75,-33.78,10.18,20.58,1193.49,0.0977,0,0,8,29,21,13,,,,,0,0,125,0,0,,,0,0
NaI126,126,8,8,59.77,-35.02,3.44,20.51,1197.84,0.0977,0,0,12,6,20,6,,,,,0,0,126,0,0,,,0,0
NaI127,127,8,8,59.79,-35.02,-3.46,20.48,1197.33,0.0977,0,0,8,31,21,15,,,,,0,0,127,0,0,,,0,0
